date,age_0d_1d,age_1d_1w,age_1w_1m,age_1m_3m,age_3m_6m,age_6m_1y,age_1y_2y,age_2y_3y,age_3y_4y,age_4y_5y,age_5y_7y,age_7y_10y,age_10y
2011-05-18,100008.79984,656307.74895,850074.79864,887578.09858,731314.34883,1056342.94831,1225107.79804,756316.54879,0.0,0.0,0.0,0.0,0.0
2011-05-19,75109.19988,688500.9989,851237.59864,876273.9986,732314.69883,1051528.79832,1214265.39806,757351.09879,0.0,0.0,0.0,0.0,0.0
2011-05-20,87781.39986,683440.89891,859003.69863,877813.9986,727331.59884,1053376.79832,1210129.29807,764952.19878,0.0,0.0,0.0,0.0,0.0
2011-05-21,370584.89941,408271.49935,847948.49865,879353.9986,741169.79882,1030100.39836,1231095.59804,766294.19878,0.0,0.0,0.0,0.0,0.0
2011-05-22,346153.49945,346153.49945,893705.39858,931467.59852,736362.89883,1032166.79836,1233565.19804,774125.09877,0.0,0.0,0.0,0.0,0.0
2011-05-23,164007.99974,460483.99927,952507.99849,946199.9985,738035.99883,1028203.99837,1230059.99805,775883.99877,0.0,0.0,0.0,0.0,0.0
2011-05-24,63229.4999,518481.89918,1011671.9984,954765.44849,746108.09882,1024317.89838,1226652.29806,777722.84877,0.0,0.0,0.0,0.0,0.0
2011-05-25,63382.9999,519740.59918,1020466.29839,944406.69851,709889.59888,1071172.69831,1223291.89807,785949.19876,0.0,0.0,0.0,0.0,0.0
2011-05-26,82590.29987,508247.9992,1022849.09839,952964.9985,711547.19888,1060967.69833,1226148.29807,787784.39876,0.0,0.0,0.0,0.0,0.0
2011-05-27,356241.19944,229012.19964,1024193.44839,954217.4985,718843.84887,1056000.69834,1234121.29806,788819.79876,0.0,0.0,0.0,0.0,0.0
2011-05-28,44584.39993,522274.39918,1044548.79836,955379.9985,726088.79886,1057287.19834,1229255.59807,789780.79876,0.0,0.0,0.0,0.0,0.0
2011-05-29,51025.59992,516634.19919,867435.19864,1109806.79826,739871.19884,1071537.59832,1230992.59807,790896.79876,0.0,0.0,0.0,0.0,0.0
2011-05-30,51087.19992,510871.9992,874868.29863,938727.29853,919569.59856,1066445.29833,1226092.79808,791851.59876,0.0,0.0,0.0,0.0,0.0
2011-05-31,76720.79988,492291.79923,875895.79863,792781.59876,1067697.79833,1067697.79833,1227532.79808,799174.99875,0.0,0.0,0.0,0.0,0.0
2011-06-01,70430.79989,499418.39922,877183.59863,800349.99875,1069267.59833,1062864.79834,1222934.79809,800349.99875,0.0,0.0,0.0,0.0,0.0
2011-06-02,89772.19986,500159.39922,878485.09863,807949.79874,1070854.09833,1058029.49835,1218336.9981,795125.19876,0.0,0.0,0.0,0.0,0.0
2011-06-03,154137.59976,205516.79968,1066118.39834,905558.39859,1059695.99835,1046851.19837,1194566.39814,796377.59876,0.0,0.0,0.0,0.0,0.0
2011-06-04,96503.99985,295945.59954,1042243.19838,894270.39861,1074411.19833,1042243.19838,1190215.99815,797766.39876,0.0,0.0,0.0,0.0,0.0
2011-06-05,115991.99982,322199.9995,1005263.99844,915047.99858,1082591.99832,1018151.99842,1185695.99816,805499.99875,0.0,0.0,0.0,0.0,0.0
2011-06-06,264681.64959,361516.39944,994170.09846,748855.39884,1078093.54833,1019992.69842,1181383.94817,806956.24875,0.0,0.0,0.0,0.0,0.0
2011-06-07,96962.24985,530060.29918,995479.09846,762769.69882,1073048.89834,1014871.54843,1176475.29818,808018.74875,0.0,0.0,0.0,0.0,0.0
2011-06-08,220095.59966,530818.79918,964536.59851,763861.19882,1042217.39839,990430.19847,1165211.9982,809174.99875,0.0,0.0,0.0,0.0,0.0
2011-06-09,181565.99972,628996.49903,914314.49859,784624.49879,1018066.49843,985643.99848,1160725.49821,810562.49875,0.0,0.0,0.0,0.0,0.0
2011-06-10,305295.54953,493669.39924,980843.14849,766486.69882,1013321.39844,980843.14849,1149730.04823,805460.59876,0.0,0.0,0.0,0.0,0.0
2011-06-11,182230.99972,637808.49902,1002270.49846,774481.74881,995762.24847,982745.74849,1119418.99828,813531.24875,0.0,0.0,0.0,0.0,0.0
2011-06-12,625910.39904,541151.69917,684589.49895,743268.59886,1017104.39844,977984.9985,1114902.89829,814987.49875,0.0,0.0,0.0,0.0,0.0
2011-06-13,150218.74977,1051531.24839,692312.49894,731499.99888,1025406.24843,973156.24851,1090718.74833,816406.24875,0.0,0.0,0.0,0.0,0.0
2011-06-14,320636.39951,1007714.39846,654359.999,719795.9989,1027345.19843,968452.79852,1053519.59839,791775.59879,0.0,0.0,0.0,0.0,0.0
2011-06-15,281974.64957,1121341.04829,681985.19896,714772.94891,1029535.34843,885269.24865,1049207.9984,793463.54879,0.0,0.0,0.0,0.0,0.0
2011-06-16,288928.19956,1136013.14827,663221.54899,761719.79884,1024381.79844,886484.24865,1011248.69846,794552.54879,0.0,0.0,0.0,0.0,0.0
2011-06-17,243306.44963,1091591.09834,802253.69878,756222.74885,966649.94853,914043.14861,1006105.04847,795677.84879,0.0,0.0,0.0,0.0,0.0
2011-06-18,184399.59972,1132740.39828,816626.79876,763941.19884,961512.19854,915412.29861,1007612.09847,796869.69879,0.0,0.0,0.0,0.0,0.0
2011-06-19,936752.69858,593716.4991,712459.79892,686072.39896,949946.39856,890574.74865,1022511.74845,798218.84879,0.0,0.0,0.0,0.0,0.0
2011-06-20,211473.59968,1321709.998,713723.39892,700506.29894,945022.64857,892154.24865,1017716.69846,806243.09878,0.0,0.0,0.0,0.0,0.0
2011-06-21,198635.9997,1152088.79826,920346.79861,681983.59897,940210.39858,893861.99865,1019664.79846,807786.39878,0.0,0.0,0.0,0.0,0.0
2011-06-22,192391.79971,1121179.79831,968593.19854,676688.39898,948690.59857,895616.99865,1015032.59847,809372.39878,0.0,0.0,0.0,0.0,0.0
2011-06-23,611450.39908,611450.39908,1056745.79841,684558.59897,950406.59857,897236.99865,1016868.59847,810836.39878,0.0,0.0,0.0,0.0,0.0
2011-06-24,173081.99974,1051805.99842,1071776.99839,692327.99896,951950.99857,892037.99866,1018520.99847,812153.99878,0.0,0.0,0.0,0.0,0.0
2011-06-25,179932.04973,1026279.09846,1086256.44837,693071.59896,952973.44857,892996.09866,1012950.79848,819690.44877,0.0,0.0,0.0,0.0,0.0
2011-06-26,186804.79972,807263.59879,1320976.79802,707189.59894,947367.19858,873979.59869,1014083.19848,820606.79877,0.0,0.0,0.0,0.0,0.0
2011-06-27,253841.89962,794925.94881,1315969.84803,701405.24895,915166.84863,875086.54869,1008687.54849,814966.09878,0.0,0.0,0.0,0.0,0.0
2011-06-28,200641.4997,836006.24875,1350986.09798,708933.29894,896198.69866,869446.4987,1009895.54849,815942.09878,0.0,0.0,0.0,0.0,0.0
2011-06-29,167416.24975,830384.59876,1392903.19792,709844.89894,897351.09866,870564.4987,1011194.14849,816991.29878,0.0,0.0,0.0,0.0,0.0
2011-06-30,181067.39973,375547.19944,1857617.39723,710857.19894,891924.59867,865099.79871,1005929.9985,818156.39878,0.0,0.0,0.0,0.0,0.0
2011-07-01,174586.09974,369316.74945,1866728.29722,698344.39896,906504.74865,872930.4987,1007227.4985,825926.54877,0.0,0.0,0.0,0.0,0.0
2011-07-02,168082.49975,403397.9994,1822014.29729,719393.09893,907645.49865,874028.9987,1001771.69851,826965.89877,0.0,0.0,0.0,0.0,0.0
2011-07-03,121167.89982,424087.64937,1783860.74735,794322.89882,908759.24865,868369.94871,1003000.94851,827980.64877,0.0,0.0,0.0,0.0,0.0
2011-07-04,148281.09978,330262.44951,1840033.64727,808805.9988,896426.64867,882946.54869,997527.39852,829026.14877,0.0,0.0,0.0,0.0,0.0
2011-07-05,121445.99982,330602.99951,1841930.99727,856868.99873,890603.99868,877109.9987,991808.99853,836627.99876,0.0,0.0,0.0,0.0,0.0
