date,supplyLoss
2024-09-20,2558477.578265954
2024-09-21,2534823.804489307
2024-09-22,2457824.353074588
2024-09-23,2594210.5290835835
2024-09-24,2062770.682002671
2024-09-25,2825506.950827416
2024-09-26,1821797.8818873689
2024-09-27,1600529.5635136738
2024-09-28,1594634.2084284648
2024-09-29,1766589.749636829
2024-09-30,2798149.0850120187
2024-10-01,3841622.0874299407
2024-10-02,3940525.824048404
2024-10-03,3818097.344382081
2024-10-04,3256931.974716854
2024-10-05,3353850.441929305
2024-10-06,3037708.9115927126
2024-10-07,3217639.108736379
2024-10-08,3255277.360721372
2024-10-09,4198146.903517924
2024-10-10,4386024.610356597
2024-10-11,2903656.045500111
2024-10-12,2597338.5313471816
2024-10-13,2882041.246648129
2024-10-14,1411401.007589124
2024-10-15,1176196.5125736184
2024-10-16,966677.1678202152
2024-10-17,1150552.3001238927
2024-10-18,676112.2783714011
2024-10-19,856036.9077020697
2024-10-20,608929.7403308749
2024-10-21,1229754.9864491113
2024-10-22,1306890.3159825765
2024-10-23,1771560.7718595266
2024-10-24,937209.0577002056
2024-10-25,1892258.9806529025
2024-10-26,1597680.8110475913
2024-10-27,1053942.5000877045
2024-10-28,456786.45680617914
2024-10-29,61301.867954779416
2024-10-30,191820.64512250945
2024-10-31,589319.3760846332
2024-11-01,795007.1037993319
2024-11-02,1018501.9420795962
2024-11-03,1129275.2215702794
2024-11-04,1469477.2487993948
2024-11-05,749588.30304778
2024-11-06,0.0
2024-11-07,0.0
2024-11-08,0.0
2024-11-09,0.0
2024-11-10,0.0
2024-11-11,0.0
2024-11-12,156271.81961540133
2024-11-13,0.0
2024-11-14,451031.22140543535
2024-11-15,0.0
2024-11-16,191895.39574470744
2024-11-17,354124.6363805793
2024-11-18,120682.31910874322
2024-11-19,0.0
2024-11-20,0.0
2024-11-21,0.0
2024-11-22,0.0
2024-11-23,383854.6295499876
2024-11-24,362097.33944905177
2024-11-25,581745.6787758172
2024-11-26,777656.7027628794
2024-11-27,419508.1012884863
2024-11-28,496692.8995542824
