date,asopr
2024-04-05,1.01289404
2024-04-06,1.03329705
2024-04-07,1.02326608
2024-04-08,1.04476526
2024-04-09,1.02382141
2024-04-10,1.01591505
2024-04-11,1.02678068
2024-04-12,1.02269652
2024-04-13,0.99274487
2024-04-14,1.00024572
2024-04-15,1.01255986
2024-04-16,1.01970355
2024-04-17,0.99760621
2024-04-18,1.02378815
2024-04-19,1.02765897
2024-04-20,1.01214888
2024-04-21,1.0152832
2024-04-22,1.02623503
2024-04-23,1.01465709
2024-04-24,1.11265739
2024-04-25,1.00962857
2024-04-26,1.00484959
2024-04-27,1.01724321
2024-04-28,1.0376868
2024-04-29,1.01186133
2024-04-30,1.01173792
2024-05-01,0.971602
2024-05-02,0.99445952
2024-05-03,1.01228965
2024-05-04,1.02174872
2024-05-05,1.01008112
2024-05-06,1.02384362
2024-05-07,1.010455
2024-05-08,1.01995487
2024-05-09,1.0096189
2024-05-10,1.0025519
2024-05-11,1.01200629
2024-05-12,1.01831297
2024-05-13,1.01897724
2024-05-14,1.01559824
2024-05-15,1.07262571
2024-05-16,1.03184895
2024-05-17,1.02687094
2024-05-18,1.01518813
2024-05-19,1.01791456
2024-05-20,1.04185569
2024-05-21,1.04793733
2024-05-22,1.02732463
2024-05-23,1.02843714
2024-05-24,1.01851117
2024-05-25,1.0195358
2024-05-26,1.02752156
2024-05-27,1.04313398
2024-05-28,1.30820609
2024-05-29,1.01370119
2024-05-30,1.01602396
2024-05-31,1.01185082
2024-06-01,1.0125797
2024-06-02,1.01697787
2024-06-03,1.03711348
2024-06-04,1.02979034
2024-06-05,1.03179592
2024-06-06,1.06497598
2024-06-07,1.03366098
2024-06-08,1.01431536
2024-06-09,1.0192528
2024-06-10,1.01517613
2024-06-11,1.05521467
2024-06-12,1.0277993
2024-06-13,1.00764606
2024-06-14,1.00699148
2024-06-15,1.01654192
2024-06-16,1.00815723
2024-06-17,1.00796461
2024-06-18,0.99831902
2024-06-19,1.0154377
2024-06-20,1.00631773
2024-06-21,1.01744963
2024-06-22,1.14939468
2024-06-23,1.00239347
2024-06-24,0.98652595
2024-06-25,0.99570669
2024-06-26,1.00205628
2024-06-27,1.03867726
2024-06-28,1.00397124
2024-06-29,1.0041108
2024-06-30,1.01138089
2024-07-01,1.02235223
2024-07-02,1.00060325
2024-07-03,1.02827147
2024-07-04,1.00624557
2024-07-05,0.99562237
2024-07-06,1.00192102
2024-07-07,1.00782301
2024-07-08,0.97887612
2024-07-09,1.02158307
2024-07-10,1.01358054
2024-07-11,0.99912763
2024-07-12,1.00609948
2024-07-13,1.01498201
2024-07-14,1.02222028
2024-07-15,1.03949258
2024-07-16,1.01986563
2024-07-17,1.02878518
2024-07-18,1.03230945
2024-07-19,1.05723808
2024-07-20,1.02630186
2024-07-21,1.01845137
2024-07-22,1.02445097
2024-07-23,1.06367919
2024-07-24,1.01316026
2024-07-25,1.00208074
2024-07-26,1.0337347
2024-07-27,1.03080039
2024-07-28,1.01438824
2024-07-29,1.02754999
2024-07-30,1.0073764
2024-07-31,1.00623818
2024-08-01,1.00764981
2024-08-02,1.00034349
2024-08-03,1.00084008
2024-08-04,0.99252288
2024-08-05,0.93938637
2024-08-06,0.98771989
2024-08-07,1.00571918
2024-08-08,1.02279057
2024-08-09,1.02359153
2024-08-10,1.04550571
2024-08-11,1.00082327
2024-08-12,1.00466073
2024-08-13,0.99260118
2024-08-14,0.99793374
2024-08-15,0.99278902
2024-08-16,0.99908529
2024-08-17,1.00114769
2024-08-18,1.00864757
2024-08-19,0.9964228
2024-08-20,1.00313828
2024-08-21,1.00742285
2024-08-22,1.01253743
2024-08-23,1.0266731
2024-08-24,1.03022964
2024-08-25,1.01076647
2024-08-26,1.01869287
2024-08-27,0.99524902
2024-08-28,0.9843011
2024-08-29,1.03989655
2024-08-30,0.99973212
2024-08-31,1.01023156
2024-09-01,0.9894557
2024-09-02,0.99536375
2024-09-03,0.99556161
2024-09-04,0.99799247
2024-09-05,0.9893496
2024-09-06,0.98827368
2024-09-07,0.99036062
2024-09-08,0.99365642
2024-09-09,1.01802859
2024-09-10,0.99749764
2024-09-11,0.99508353
2024-09-12,1.00984067
2024-09-13,1.02317517
2024-09-14,1.00990844
2024-09-15,1.00685787
2024-09-16,1.00317007
2024-09-17,1.0163012
2024-09-18,1.01725155
2024-09-19,1.03236005
2024-09-20,1.03459935
2024-09-21,1.01933426
2024-09-22,1.01119086
2024-09-23,1.03342813
2024-09-24,1.01634763
2024-09-25,1.03299306
2024-09-26,1.03125932
2024-09-27,1.02726631
2024-09-28,1.03528117
2024-09-29,1.01214953
2024-09-30,1.00408523
2024-10-01,1.00005236
2024-10-02,0.99227687
2024-10-03,0.99432214
2024-10-04,1.01509441
2024-10-05,1.00862172
2024-10-06,1.00826044
2024-10-07,1.01482084
2024-10-08,1.13508583
2024-10-09,1.00753794
2024-10-10,0.98526417
2024-10-11,1.07301286
2024-10-12,1.04508281
2024-10-13,1.01467854
2024-10-14,1.03084032
2024-10-15,1.04701812
2024-10-16,1.03442817
2024-10-17,1.03131326
2024-10-18,1.02956591
2024-10-19,1.03464789
2024-10-20,1.13517488
2024-10-21,1.07629248
2024-10-22,1.02061979
2024-10-23,1.01454991
2024-10-24,1.02149565
2024-10-25,1.02204984
2024-10-26,1.01445688
2024-10-27,1.01611304
2024-10-28,1.02974525
2024-10-29,1.05484357
2024-10-30,1.0313391
2024-10-31,1.01996788
2024-11-01,1.01868435
2024-11-02,1.02339775
2024-11-03,1.01019448
2024-11-04,1.02455761
2024-11-05,1.01893943
2024-11-06,1.07509907
2024-11-07,1.04747471
2024-11-08,1.0445334
2024-11-09,1.02209469
2024-11-10,1.06353736
2024-11-11,1.09318651
2024-11-12,1.09449655
2024-11-13,1.09802428
2024-11-14,1.09805051
2024-11-15,1.07347681
2024-11-16,1.05086123
2024-11-17,1.03461053
2024-11-18,1.05188032
2024-11-19,1.11955602
2024-11-20,1.08756305
2024-11-21,1.14951853
2024-11-22,1.10904041
2024-11-23,1.08294055
2024-11-24,1.04953384
2024-11-25,1.0593623
2024-11-26,1.03886265
2024-11-27,1.06534924
2024-11-28,1.06379683
2024-11-29,1.05672302
2024-11-30,1.02986017
2024-12-01,1.0387318
2024-12-02,1.06583058
2024-12-03,1.06557944
2024-12-04,1.07114677
2024-12-05,1.12828244
2024-12-06,1.10034084
2024-12-07,1.03652594
2024-12-08,1.03860687
2024-12-09,1.12326676
2024-12-10,1.06714545
2024-12-11,1.07024524
2024-12-12,1.04096658
2024-12-13,1.05107943
2024-12-14,1.03827254
2024-12-15,1.05777778
2024-12-16,1.07709172
2024-12-17,1.10469062
2024-12-18,1.06722185
2024-12-19,1.11781681
2024-12-20,1.04177544
2024-12-21,1.02206686
2024-12-22,1.02851894
2024-12-23,1.12878258
2024-12-24,1.07905141
2024-12-25,1.02700467
2024-12-26,1.02930517
2024-12-27,1.04917485
2024-12-28,1.02333691
2024-12-29,1.04593556
2024-12-30,1.05687014
2024-12-31,1.03963321
2025-01-01,1.04911036
2025-01-02,1.0370944
2025-01-03,1.02087017
2025-01-04,1.02270404
2025-01-05,1.0163353
2025-01-06,1.03724595
2025-01-07,1.04858767
2025-01-08,1.00601429
2025-01-09,0.99876981
2025-01-10,1.00899942
2025-01-11,1.01192587
2025-01-12,1.01309129
2025-01-13,1.00552092
2025-01-14,1.02285935
2025-01-15,1.04472147
2025-01-16,1.0584407
2025-01-17,1.0488669
2025-01-18,1.03410655
2025-01-19,1.0380992
2025-01-20,1.04226402
2025-01-21,1.04887181
2025-01-22,1.06195383
2025-01-23,1.11084581
2025-01-24,1.03251337
2025-01-25,1.02051242
