date,reserveRisk
2021-11-09,0.002587053
2021-11-10,0.0024880119
2021-11-11,0.0024883797
2021-11-12,0.0024409013
2021-11-13,0.0024455783
2021-11-14,0.0024463725
2021-11-15,0.0024146296
2021-11-16,0.0022853508
2021-11-17,0.0022537631
2021-11-18,0.0021416054
2021-11-19,0.0021645565
2021-11-20,0.0022336327
2021-11-21,0.0022040883
2021-11-22,0.0020946185
2021-11-23,0.0021371653
2021-11-24,0.0021147928
2021-11-25,0.0021784277
2021-11-26,0.0019966139
2021-11-27,0.0020253334
2021-11-28,0.0020643075
2021-11-29,0.0021336078
2021-11-30,0.0021040225
2021-12-01,0.0020841788
2021-12-02,0.0020726935
2021-12-03,0.001945989
2021-12-04,0.0017880499
2021-12-05,0.0017747316
2021-12-06,0.0018370671
2021-12-07,0.0018204512
2021-12-08,0.0018288548
2021-12-09,0.0017229154
2021-12-10,0.001711902
2021-12-11,0.001754321
2021-12-12,0.0017974313
2021-12-13,0.0016793492
2021-12-14,0.0017236362
2021-12-15,0.0017431372
2021-12-16,0.0017028638
2021-12-17,0.0016445241
2021-12-18,0.0016581008
2021-12-19,0.0016765115
2021-12-20,0.0016540088
2021-12-21,0.001735846
2021-12-22,0.0017251485
2021-12-23,0.0017873317
2021-12-24,0.0017788979
2021-12-25,0.0017745085
2021-12-26,0.0017818752
2021-12-27,0.0017792852
2021-12-28,0.0016614565
2021-12-29,0.0016441042
2021-12-30,0.0016300543
2021-12-31,0.0016058067
2022-01-01,0.0016428842
2022-01-02,0.0016339399
2022-01-03,0.0015936248
2022-01-04,0.001593476
2022-01-05,0.0014930042
2022-01-06,0.0014839019
2022-01-07,0.0014275396
2022-01-08,0.001445587
2022-01-09,0.0014433562
2022-01-10,0.0014257986
2022-01-11,0.0014582911
2022-01-12,0.0014933536
2022-01-13,0.0014488687
2022-01-14,0.0014700266
2022-01-15,0.0014656914
2022-01-16,0.0014622958
2022-01-17,0.0014299415
2022-01-18,0.0014321693
2022-01-19,0.0014151172
2022-01-20,0.0013858214
2022-01-21,0.0012136623
2022-01-22,0.0011702552
2022-01-23,0.0011860487
2022-01-24,0.001217854
2022-01-25,0.0012256453
2022-01-26,0.00121898
2022-01-27,0.0012266915
2022-01-28,0.0012618077
2022-01-29,0.0012697108
2022-01-30,0.0012518385
2022-01-31,0.0012756715
2022-02-01,0.0012807419
2022-02-02,0.0012265322
2022-02-03,0.0012195884
2022-02-04,0.0013423114
2022-02-05,0.0013718113
2022-02-06,0.0013696967
2022-02-07,0.0014514602
2022-02-08,0.0014479121
2022-02-09,0.0014620736
2022-02-10,0.0014347185
2022-02-11,0.0013793587
2022-02-12,0.0013754056
2022-02-13,0.0013795091
2022-02-14,0.0013868244
2022-02-15,0.00143752
2022-02-16,0.0014316924
2022-02-17,0.0013188368
2022-02-18,0.0012942111
2022-02-19,0.0012958528
2022-02-20,0.0012384778
2022-02-21,0.0012032801
2022-02-22,0.0012214503
2022-02-23,0.0012109213
2022-02-24,0.0012214337
2022-02-25,0.0012654603
2022-02-26,0.0012582876
2022-02-27,0.0012088867
2022-02-28,0.0013822441
2022-03-01,0.0014109433
2022-03-02,0.0014077676
2022-03-03,0.0013577755
2022-03-04,0.001238669
2022-03-05,0.001253016
2022-03-06,0.0012381443
2022-03-07,0.0012120887
2022-03-08,0.0012229662
2022-03-09,0.0013238856
2022-03-10,0.0012452141
2022-03-11,0.0012301764
2022-03-12,0.0012328376
2022-03-13,0.0011874809
2022-03-14,0.0012388019
2022-03-15,0.0012384414
2022-03-16,0.0012823639
2022-03-17,0.0012833905
2022-03-18,0.0013059244
2022-03-19,0.0013107707
2022-03-20,0.0012841801
2022-03-21,0.0012829681
2022-03-22,0.0013231613
2022-03-23,0.0013213579
2022-03-24,0.0013661157
2022-03-25,0.0013744885
2022-03-26,0.0013737852
2022-03-27,0.001441205
2022-03-28,0.0014675379
2022-03-29,0.0014549128
2022-03-30,0.0014449032
2022-03-31,0.0014065565
2022-04-01,0.0014212592
2022-04-02,0.0014170875
2022-04-03,0.0014295167
2022-04-04,0.0014212362
2022-04-05,0.0014008655
2022-04-06,0.001335765
2022-04-07,0.0013237641
2022-04-08,0.0012932196
2022-04-09,0.0012916373
2022-04-10,0.0013076596
2022-04-11,0.0011954882
2022-04-12,0.0012001197
2022-04-13,0.0012432046
2022-04-14,0.0012042629
2022-04-15,0.0012170675
2022-04-16,0.0012186769
2022-04-17,0.0012082838
2022-04-18,0.0012291562
2022-04-19,0.0012384259
2022-04-20,0.0012422116
2022-04-21,0.0012180208
2022-04-22,0.0011832364
2022-04-23,0.0011877568
