date,realizedLossUsd
2024-06-23,109572017.07
2024-06-24,931111610.56
2024-06-25,439001358.89
2024-06-26,457486088.51
2024-06-27,369706581.68
2024-06-28,358797666.93
2024-06-29,75780625.03
2024-06-30,58196331.36
2024-07-01,131345112.31
2024-07-02,261167457.87
2024-07-03,318975923.3
2024-07-04,842908355.96
2024-07-05,1606245036.23
2024-07-06,196624946.44
2024-07-07,167788363.13
2024-07-08,796556347.44
2024-07-09,250527946.33
2024-07-10,235939851.57
2024-07-11,268096555.24
2024-07-12,252234843.23
2024-07-13,63166815.47
2024-07-14,44253854.71
2024-07-15,73358226.08
2024-07-16,418779914.43
2024-07-17,143188027.17
2024-07-18,125394793.52
2024-07-19,115422097.77
2024-07-20,22863271.43
2024-07-21,31873066.84
2024-07-22,116995165.41
2024-07-23,240809756.74
2024-07-24,177403455.53
2024-07-25,387942298.68
2024-07-26,34008137.28
2024-07-27,39349367.8
2024-07-28,55021714.01
2024-07-29,173310254.69
2024-07-30,521520112.42
2024-07-31,197692943.87
2024-08-01,576016982.91
2024-08-02,371653454.19
2024-08-03,235911924.38
2024-08-04,398911632.96
2024-08-05,3305117881.24
2024-08-06,863684876.25
2024-08-07,546795573.96
2024-08-08,257798723.1
2024-08-09,306239912.86
2024-08-10,74730460.84
2024-08-11,151493255.35
2024-08-12,299543760.58
2024-08-13,588550458.29
2024-08-14,390009588.82
2024-08-15,441400542.21
2024-08-16,314701165.22
2024-08-17,88550747.36
2024-08-18,50145413.27
2024-08-19,303733466.76
2024-08-20,345872257.26
2024-08-21,239567087.76
2024-08-22,126870206.72
2024-08-23,101612043.13
2024-08-24,44145977.6
2024-08-25,18735434.69
2024-08-26,99539489.17
2024-08-27,679511026.44
2024-08-28,662685845.87
2024-08-29,278272424.53
2024-08-30,217185380.85
2024-08-31,65081132.8
2024-09-01,230606075.44
2024-09-02,253060922.47
2024-09-03,444032684.01
2024-09-04,335558729.64
2024-09-05,360413436.95
2024-09-06,685074736.24
2024-09-07,217904423.9
2024-09-08,147086073.75
2024-09-09,251334412.46
2024-09-10,469420578.56
2024-09-11,365689599.76
2024-09-12,190205401.15
2024-09-13,121839630.42
2024-09-14,70374890.84
2024-09-15,49003424.54
2024-09-16,314936503.67
2024-09-17,112944069.63
2024-09-18,118467850.55
2024-09-19,66726070.49
2024-09-20,109125218.83
2024-09-21,35741129.22
2024-09-22,40412710.18
2024-09-23,57861417.11
2024-09-24,76373246.37
2024-09-25,111806387.93
2024-09-26,61685597.89
2024-09-27,48751375.09
2024-09-28,26715462.7
2024-09-29,26512458.57
2024-09-30,309746041.95
2024-10-01,312331056.88
2024-10-02,462331443.24
2024-10-03,387710781.5
2024-10-04,103367890.44
2024-10-05,33970943.42
2024-10-06,43487205.79
2024-10-07,122687195.92
2024-10-08,394953026.87
2024-10-09,226931974.16
2024-10-10,522668054.34
2024-10-11,253489083.69
2024-10-12,17860061.13
2024-10-13,65469970.78
2024-10-14,46277181.02
2024-10-15,78446018.84
2024-10-16,36392304.37
2024-10-17,60164270.4
2024-10-18,35651180.89
2024-10-19,16258660.52
2024-10-20,11234730.3
2024-10-21,106508264.84
2024-10-22,132889062.45
2024-10-23,133067181.25
2024-10-24,53205480.91
2024-10-25,94624525.77
2024-10-26,39100757.24
