date,nrplBtc
2012-10-27,11347.3837359
2012-10-28,10110.4914123
2012-10-29,9436.6097915
2012-10-30,9242.7540066
2012-10-31,8609.9174561
2012-11-01,8232.4207549
2012-11-02,7529.4404253
2012-11-03,6770.9880573
2012-11-04,6949.1768832
2012-11-05,6762.4452468
2012-11-06,6125.9330442
2012-11-07,6204.1679992
2012-11-08,5733.9528329
2012-11-09,5773.6833525
2012-11-10,5276.1757917
2012-11-11,5320.861043
2012-11-12,5691.2903493
2012-11-13,5852.7669459
2012-11-14,5799.4399908
2012-11-15,5581.2036574
2012-11-16,7251.2077194
2012-11-17,6787.1031195
2012-11-18,6441.8621138
2012-11-19,6633.749127
2012-11-20,6337.1217753
2012-11-21,6191.9470528
2012-11-22,5694.0411413
2012-11-23,5461.8389405
2012-11-24,4919.7470308
2012-11-25,5003.0219725
2012-11-26,5039.5888083
2012-11-27,4903.5648127
2012-11-28,4852.6092627
2012-11-29,4546.4928225
2012-11-30,4671.5926311
2012-12-01,4381.4267882
2012-12-02,4075.7305913
2012-12-03,5971.0897951
2012-12-04,10343.633527
2012-12-05,11629.030281
2012-12-06,11335.7022565
2012-12-07,11870.8012782
2012-12-08,11046.7600607
2012-12-09,10899.0893589
2012-12-10,10890.4623794
2012-12-11,10629.1708634
2012-12-12,10635.0860598
2012-12-13,12482.1813867
2012-12-14,11920.5451577
2012-12-15,10858.6549558
2012-12-16,10223.8657788
2012-12-17,9364.5383984
2012-12-18,9420.1049952
2012-12-19,9380.3121646
2012-12-20,9347.0011594
2012-12-21,9096.8440555
2012-12-22,8130.494176
2012-12-23,7372.5271693
2012-12-24,6678.4198787
2012-12-25,6024.6940975
2012-12-26,5591.0580519
2012-12-27,5157.915308
2012-12-28,4952.1836361
2012-12-29,4629.5062001
2012-12-30,4513.866761
2012-12-31,5856.0147366
2013-01-01,5420.2465067
2013-01-02,5096.3448881
2013-01-03,4840.3170675
2013-01-04,5107.7124011
2013-01-05,4710.9295791
2013-01-06,4280.2708691
2013-01-07,3990.9176282
